,name,site_url,country,bias,factual,press_freedom,media_type,popularity,MBFC_credibility,image_url,page_url,biaser
0,Accountable.US,https://www.accountable.us/,Usa,Left,Mostly factual,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/accountable-us/,mediabiasfactcheck.com
1,Act.TV,http://act.tv,Usa,Left,Mostly factual,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/act-tv/,mediabiasfactcheck.com
2,Aftonbladet,https://www.aftonbladet.se,Sweden,Left,Mixed,Excellent,Newspaper,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left9.png,https://mediabiasfactcheck.com/aftonbladet/,mediabiasfactcheck.com
3,Al DIA,https://aldianews.com,Usa,Left,Mixed,N/A,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/al-dia/,mediabiasfactcheck.com
4,Alliance for Justice (AFJ),https://www.afj.org/,Usa,Left,High,Mostly free,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/alliance-for-justice-afj/,mediabiasfactcheck.com
5,Alt News,https://www.altnews.in,India,Left,High,Limited freedom,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left10.png,https://mediabiasfactcheck.com/alt-news/,mediabiasfactcheck.com
6,AlterNet,https://www.alternet.org/,Usa,Left,Mixed,Mostly free,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/alternet/,mediabiasfactcheck.com
7,Amandla,http://aidc.org.za/amandla-media/,South africa,Left,High,Mostly free,Magazine,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/amandla/,mediabiasfactcheck.com
8,AmericaBlog,http://americablog.com/,Usa,Left,High,N/A,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/americablog/,mediabiasfactcheck.com
9,American Bridge 21st Century,https://americanbridgepac.org/,Usa,Left,Mixed,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/american-bridge-21st-century/,mediabiasfactcheck.com
10,American Oversight,https://www.americanoversight.org,Usa,Left,Mostly factual,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/american-oversight/,mediabiasfactcheck.com
11,Americans United for Separation of Church and State,https://www.au.org/,Usa,Left,High,Mostly free,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left12.png,https://mediabiasfactcheck.com/american-united-separation-church-state/,mediabiasfactcheck.com
12,Angry White Men,https://angrywhitemen.org,Usa,Left,Mixed,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left9.png,https://mediabiasfactcheck.com/angry-white-men/,mediabiasfactcheck.com
13,Attack The System,https://attackthesystem.com/,Usa,Left,Mixed,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/attack-the-system/,mediabiasfactcheck.com
14,AutoStraddle,https://www.autostraddle.com/,Usa,Left-center,High,Mostly free,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/autostraddle/,mediabiasfactcheck.com
15,Baltimore City Paper,https://www.baltimoresun.com/citypaper/,Usa,Left,Mostly factual,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left9.png,https://mediabiasfactcheck.com/baltimore-city-paper/,mediabiasfactcheck.com
16,Bay Area Reporter,https://www.ebar.com/,Usa,Left,High,Mostly free,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left12.png,https://mediabiasfactcheck.com/bay-area-reporter/,mediabiasfactcheck.com
17,Being Liberal,https://beingliberal.org/,Usa,Left,Mixed,Mostly free,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/being-liberal/,mediabiasfactcheck.com
18,BillMoyers.com,https://billmoyers.com/,Usa,Left,Mostly factual,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/billmoyers-com/,mediabiasfactcheck.com
19,Bitch Media,https://bitchmedia.org/,Usa,Left,High,N/A,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/bitch-media/,mediabiasfactcheck.com
20,Black Agenda Report,https://blackagendareport.com/,Usa,Left,Mixed,Mostly free,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left1.png,https://mediabiasfactcheck.com/black-agenda-report/,mediabiasfactcheck.com
21,Black America Web,https://blackamericaweb.com/,Usa,Left,Mostly factual,Mostly free,Website,Mediumtraffic,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/black-america-web/,mediabiasfactcheck.com
22,Black Lives Matter,https://blacklivesmatter.com,Usa,Left,Mixed,N/A,Organization/foundation,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left9.png,https://mediabiasfactcheck.com/black-lives-matter/,mediabiasfactcheck.com
23,Black Main Street,https://blackmainstreet.net/,Usa,Left,Mostly factual,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/black-main-street/,mediabiasfactcheck.com
24,Boing Boing,https://boingboing.net,Usa,Left,Mixed,Mostly free,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/boing-boing/,mediabiasfactcheck.com
25,Boston Review,http://bostonreview.net,Usa,Left,High,N/A,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left11.png,https://mediabiasfactcheck.com/boston-review/,mediabiasfactcheck.com
26,Brut.Media,https://www.brut.media/,France,Left,Mostly factual,N/A,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/brut-media-bias/,mediabiasfactcheck.com
27,Bust Magazine,https://bust.com,Usa,Left,Mostly factual,Mostly free,Magazine,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/bust-magazine/,mediabiasfactcheck.com
28,Call to Activism,https://www.calltoactivism.com/,Usa,Left,Mostly factual,Mostly free,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/call-to-activism/,mediabiasfactcheck.com
29,Canada Fact Check,https://canadafactcheck.ca,Canada,Left,Mostly factual,N/A,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/canada-fact-check/,mediabiasfactcheck.com
30,Canadian Dimension,https://canadiandimension.com/,Canada,Left,Mostly factual,N/A,Magazine,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/canadian-dimension/,mediabiasfactcheck.com
31,Capital & Main,https://capitalandmain.com,Usa,Left,High,N/A,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left10.png,https://mediabiasfactcheck.com/capital-main/,mediabiasfactcheck.com
32,Care2,https://www.care2.com,Usa,Left,Mixed,N/A,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/care2/,mediabiasfactcheck.com
33,Ceasefire Magazine,https://ceasefiremagazine.co.uk/,United kingdom,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/ceasefire-magazine/,mediabiasfactcheck.com
34,Center for American Progress,https://www.americanprogress.org/,Usa,Left,Mixed,Mostly free,Organization/foundation,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/center-for-american-progress/,mediabiasfactcheck.com
35,Center for Media and Democracy (PR Watch),https://www.prwatch.org/,Usa,Left,High,Mostly free,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/center-for-media-and-democracy/,mediabiasfactcheck.com
36,Center for a Stateless Society,https://c4ss.org/,Usa,Left,Mostly factual,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left1.png,https://mediabiasfactcheck.com/center-for-a-stateless-society/,mediabiasfactcheck.com
37,Change.org,https://www.change.org/,Usa,Left,Mixed,Mostly free,Organization/foundation,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/change-org/,mediabiasfactcheck.com
38,Chicago Reader,https://www.chicagoreader.com/,Usa,Left,High,Mostly free,Newspaper,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/chicago-reader/,mediabiasfactcheck.com
39,The Chicago Reporter,https://www.chicagoreporter.com/,Usa,Left,High,Mostly free,Magazine,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/the-chicago-reporter/,mediabiasfactcheck.com
40,China Internet Information Center,http://www.china.org.cn/,China,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/china-internet-information-center/,mediabiasfactcheck.com
41,Citizen Critics,https://citizencritics.org,Usa,Left,Mostly factual,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left12.png,https://mediabiasfactcheck.com/citizen-critics/,mediabiasfactcheck.com
42,Climate Home News,https://www.climatechangenews.com/,United kingdom,Left,High,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/climate-home-news-bias/,mediabiasfactcheck.com
43,CNN,https://www.cnn.com/,Usa,Left,Mixed,Mostly free,Tv station,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left10.png,https://mediabiasfactcheck.com/cnn/,mediabiasfactcheck.com
44,Code Pink,https://www.codepink.org,Usa,Left,Mixed,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left1.png,https://mediabiasfactcheck.com/code-pink/,mediabiasfactcheck.com
45,ColorLines,https://www.colorlines.com,Usa,Left,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/colorlines/,mediabiasfactcheck.com
46,Columbus Free Press,https://columbusfreepress.com,Usa,Left,Mixed,Mostly free,Newspaper,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/columbus-free-press/,mediabiasfactcheck.com
47,Comic Sands,https://www.comicsands.com,Usa,Left,Mixed,Mostly free,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/comic-sands/,mediabiasfactcheck.com
48,Common Dreams,https://www.commondreams.org/,Usa,Left,High,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/common-dreams/,mediabiasfactcheck.com
49,Commune Magazine,https://communemag.com/,Usa,Left,Mixed,Mostly free,Magazine,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/commune-magazine/,mediabiasfactcheck.com
50,Cop Block, http://www.copblock.org/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/cop-block/,mediabiasfactcheck.com
51,Cosmopolitan,https://www.cosmopolitan.com/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/cosmopolitan/,mediabiasfactcheck.com
52,CounterCurrents.org,https://www.countercurrents.org/,India,Left,Mostly factual,N/A,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/countercurrents-org/,mediabiasfactcheck.com
53,CounterPunch,https://www.counterpunch.org,Usa,Left,Mostly factual,N/A,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/counterpunch/,mediabiasfactcheck.com
54,Crikey,https://www.crikey.com.au/,Australia,Left,High,Mostly free,Website,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/crikey/,mediabiasfactcheck.com
55,CrimethInc,https://crimethinc.com/,Usa,Left,High,N/A,Organization/foundation,Medium,High,https://mediabiasfactcheck.files.wordpress.com/2016/12/left8.png,https://mediabiasfactcheck.com/crimethinc/,mediabiasfactcheck.com
56,Crooked Media,https://crooked.com/,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/crooked-media/,mediabiasfactcheck.com
57,Crooks and Liars,https://crooksandliars.com,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/crooks-and-liars/,mediabiasfactcheck.com
58,Current Affairs Magazine,https://www.currentaffairs.org/,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left9.png,https://mediabiasfactcheck.com/current-affairs-magazine/,mediabiasfactcheck.com
59,Curve Magazine,http://www.curvemag.com,Usa,Left,High,N/A,Magazine,Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left12.png,https://mediabiasfactcheck.com/curve-magazine/,mediabiasfactcheck.com
60,Daily Beast,https://www.thedailybeast.com/,Usa,Left,Mixed,N/A,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/daily-beast/,mediabiasfactcheck.com
61,Daily Dot,https://www.dailydot.com/,Usa,Left,High,N/A,Website,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left10.png,https://mediabiasfactcheck.com/daily-dot/,mediabiasfactcheck.com
62,Daily Kos,https://www.dailykos.com/,Usa,Left,Mixed,N/A,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/daily-kos/,mediabiasfactcheck.com
63,Daily News Bin,http://www.dailynewsbin.com/,N/A,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/09/left2.png,https://mediabiasfactcheck.com/daily-news-bin/,mediabiasfactcheck.com
64,Daily Record (Scotland),https://www.dailyrecord.co.uk/,United kingdom,Left,Mostly factual,N/A,Newspaper,High,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/daily-record-scotland/,mediabiasfactcheck.com
65,Daily Sound and Fury,https://dailysoundandfury.com,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left1.png,https://mediabiasfactcheck.com/daily-sound-and-fury/,mediabiasfactcheck.com
66,Dallas Voice,https://dallasvoice.com/,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/dallas-voice/,mediabiasfactcheck.com
67,DeadState,https://deadstate.org/,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/dead-state/,mediabiasfactcheck.com
68,Deadspin,https://deadspin.com/,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/deadspin/,mediabiasfactcheck.com
69,Deep South Voice,https://deepsouthvoice.com/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/deep-south-voice/,mediabiasfactcheck.com
70,Democracy Chronicles,https://democracychronicles.org,Usa,Left,Mostly factual,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/democracy-chronicles/,mediabiasfactcheck.com
